Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Status
prod-garden-decor-garden-furniture-009,,,,,,,Color,Olive,GARDEN-DECOR-GARDEN-FURNITURE-009-COLOR-OLIVE,shopify,182,deny,manual,171.00,
prod-garden-decor-garden-furniture-009,,,,,,,Color,Graphite,GARDEN-DECOR-GARDEN-FURNITURE-009-COLOR-GRAPHITE,shopify,39,deny,manual,171.00,
prod-garden-decor-garden-furniture-010,Timeless Rattan Garden Set,<p>A timeless rattan garden set designed for reliable everyday use.</p>,ecomgen,garden-furniture,garden-furniture,TRUE,Material,Acacia,GARDEN-DECOR-GARDEN-FURNITURE-010-MATERIAL-ACACIA,shopify,210,deny,manual,257.00,active
prod-garden-decor-garden-furniture-010,,,,,,,Material,Metal,GARDEN-DECOR-GARDEN-FURNITURE-010-MATERIAL-METAL,shopify,121,deny,manual,257.00,
prod-garden-decor-garden-furniture-010,,,,,,,Material,Rattan,GARDEN-DECOR-GARDEN-FURNITURE-010-MATERIAL-RATTAN,shopify,200,deny,manual,257.00,
prod-garden-decor-garden-furniture-011,Durable Acacia Side Table,<p>A durable acacia side table designed for reliable everyday use.</p>,ecomgen,garden-furniture,garden-furniture,TRUE,Color,Natural,GARDEN-DECOR-GARDEN-FURNITURE-011-COLOR-NATURAL,shopify,226,deny,manual,560.00,active
prod-garden-decor-garden-furniture-011,,,,,,,Color,Olive,GARDEN-DECOR-GARDEN-FURNITURE-011-COLOR-OLIVE,shopify,89,deny,manual,560.00,
prod-garden-decor-garden-furniture-011,,,,,,,Color,Graphite,GARDEN-DECOR-GARDEN-FURNITURE-011-COLOR-GRAPHITE,shopify,77,deny,manual,560.00,
prod-garden-decor-garden-furniture-012,Modular Rattan Side Table,<p>A modular rattan side table designed for reliable everyday use.</p>,ecomgen,garden-furniture,garden-furniture,TRUE,Material,Acacia,GARDEN-DECOR-GARDEN-FURNITURE-012-MATERIAL-ACACIA,shopify,54,deny,manual,469.00,active
prod-garden-decor-garden-furniture-012,,,,,,,Material,Metal,GARDEN-DECOR-GARDEN-FURNITURE-012-MATERIAL-METAL,shopify,211,deny,manual,469.00,
prod-garden-decor-garden-furniture-012,,,,,,,Material,Rattan,GARDEN-DECOR-GARDEN-FURNITURE-012-MATERIAL-RATTAN,shopify,69,deny,manual,469.00,
prod-garden-decor-outdoor-lighting-001,Modern Steel Path Light,<p>A modern steel path light designed for reliable everyday use.</p>,ecomgen,outdoor-lighting,outdoor-lighting,TRUE,Finish,Black,GARDEN-DECOR-OUTDOOR-LIGHTING-001-FINISH-BLACK,shopify,84,deny,manual,68.90,active
prod-garden-decor-outdoor-lighting-001,,,,,,,Finish,Brass,GARDEN-DECOR-OUTDOOR-LIGHTING-001-FINISH-BRASS,shopify,117,deny,manual,68.90,
prod-garden-decor-outdoor-lighting-001,,,,,,,Finish,Steel,GARDEN-DECOR-OUTDOOR-LIGHTING-001-FINISH-STEEL,shopify,164,deny,manual,68.90,
prod-garden-decor-outdoor-lighting-002,Modern Brass Lantern,<p>A modern brass lantern designed for reliable everyday use.</p>,ecomgen,outdoor-lighting,outdoor-lighting,TRUE,Power,Solar,GARDEN-DECOR-OUTDOOR-LIGHTING-002-POWER-SOLAR,shopify,131,deny,manual,44.90,active
prod-garden-decor-outdoor-lighting-002,,,,,,,Power,Wired,GARDEN-DECOR-OUTDOOR-LIGHTING-002-POWER-WIRED,shopify,192,deny,manual,44.90,
prod-garden-decor-outdoor-lighting-003,Ambient Brass Lantern,<p>A ambient brass lantern designed for reliable everyday use.</p>,ecomgen,outdoor-lighting,outdoor-lighting,TRUE,Finish,Black,GARDEN-DECOR-OUTDOOR-LIGHTING-003-FINISH-BLACK,shopify,114,deny,manual,179.00,active
prod-garden-decor-outdoor-lighting-003,,,,,,,Finish,Brass,GARDEN-DECOR-OUTDOOR-LIGHTING-003-FINISH-BRASS,shopify,111,deny,manual,179.00,
prod-garden-decor-outdoor-lighting-003,,,,,,,Finish,Steel,GARDEN-DECOR-OUTDOOR-LIGHTING-003-FINISH-STEEL,shopify,113,deny,manual,179.00,
prod-garden-decor-outdoor-lighting-004,Solar Steel Lantern,<p>A solar steel lantern designed for reliable everyday use.</p>,ecomgen,outdoor-lighting,outdoor-lighting,TRUE,Power,Solar,GARDEN-DECOR-OUTDOOR-LIGHTING-004-POWER-SOLAR,shopify,55,deny,manual,151.00,active
prod-garden-decor-outdoor-lighting-004,,,,,,,Power,Wired,GARDEN-DECOR-OUTDOOR-LIGHTING-004-POWER-WIRED,shopify,97,deny,manual,151.00,
prod-garden-decor-outdoor-lighting-005,Ambient Steel Path Light,<p>A ambient steel path light designed for reliable everyday use.</p>,ecomgen,outdoor-lighting,outdoor-lighting,TRUE,Finish,Black,GARDEN-DECOR-OUTDOOR-LIGHTING-005-FINISH-BLACK,shopify,36,deny,manual,28.90,active
prod-garden-decor-outdoor-lighting-005,,,,,,,Finish,Brass,GARDEN-DECOR-OUTDOOR-LIGHTING-005-FINISH-BRASS,shopify,193,deny,manual,28.90,
prod-garden-decor-outdoor-lighting-005,,,,,,,Finish,Steel,GARDEN-DECOR-OUTDOOR-LIGHTING-005-FINISH-STEEL,shopify,177,deny,manual,28.90,
prod-garden-decor-outdoor-lighting-006,Solar Glass Sconce,<p>A solar glass sconce designed for reliable everyday use.</p>,ecomgen,outdoor-lighting,outdoor-lighting,TRUE,Power,Solar,GARDEN-DECOR-OUTDOOR-LIGHTING-006-POWER-SOLAR,shopify,183,deny,manual,133.00,active
prod-garden-decor-outdoor-lighting-006,,,,,,,Power,Wired,GARDEN-DECOR-OUTDOOR-LIGHTING-006-POWER-WIRED,shopify,54,deny,manual,133.00,
prod-garden-decor-outdoor-lighting-007,Modern Glass Sconce,<p>A modern glass sconce designed for reliable everyday use.</p>,ecomgen,outdoor-lighting,outdoor-lighting,TRUE,Finish,Black,GARDEN-DECOR-OUTDOOR-LIGHTING-007-FINISH-BLACK,shopify,231,deny,manual,165.00,active
prod-garden-decor-outdoor-lighting-007,,,,,,,Finish,Brass,GARDEN-DECOR-OUTDOOR-LIGHTING-007-FINISH-BRASS,shopify,57,deny,manual,165.00,
prod-garden-decor-outdoor-lighting-007,,,,,,,Finish,Steel,GARDEN-DECOR-OUTDOOR-LIGHTING-007-FINISH-STEEL,shopify,128,deny,manual,165.00,
prod-garden-decor-outdoor-lighting-008,Timeless Glass Path Light,<p>A timeless glass path light designed for reliable everyday use.</p>,ecomgen,outdoor-lighting,outdoor-lighting,TRUE,Power,Solar,GARDEN-DECOR-OUTDOOR-LIGHTING-008-POWER-SOLAR,shopify,118,deny,manual,133.00,active
prod-garden-decor-outdoor-lighting-008,,,,,,,Power,Wired,GARDEN-DECOR-OUTDOOR-LIGHTING-008-POWER-WIRED,shopify,57,deny,manual,133.00,
prod-garden-decor-outdoor-lighting-009,Timeless Steel Sconce,<p>A timeless steel sconce designed for reliable everyday use.</p>,ecomgen,outdoor-lighting,outdoor-lighting,TRUE,Finish,Black,GARDEN-DECOR-OUTDOOR-LIGHTING-009-FINISH-BLACK,shopify,89,deny,manual,83.90,active
prod-garden-decor-outdoor-lighting-009,,,,,,,Finish,Brass,GARDEN-DECOR-OUTDOOR-LIGHTING-009-FINISH-BRASS,shopify,171,deny,manual,83.90,
prod-garden-decor-outdoor-lighting-009,,,,,,,Finish,Steel,GARDEN-DECOR-OUTDOOR-LIGHTING-009-FINISH-STEEL,shopify,160,deny,manual,83.90,
prod-garden-decor-outdoor-lighting-010,Timeless Glass Sconce,<p>A timeless glass sconce designed for reliable everyday use.</p>,ecomgen,outdoor-lighting,outdoor-lighting,TRUE,Power,Solar,GARDEN-DECOR-OUTDOOR-LIGHTING-010-POWER-SOLAR,shopify,241,deny,manual,119.00,active
prod-garden-decor-outdoor-lighting-010,,,,,,,Power,Wired,GARDEN-DECOR-OUTDOOR-LIGHTING-010-POWER-WIRED,shopify,33,deny,manual,119.00,
prod-garden-decor-outdoor-lighting-011,Modern Brass Sconce,<p>A modern brass sconce designed for reliable everyday use.</p>,ecomgen,outdoor-lighting,outdoor-lighting,TRUE,Finish,Black,GARDEN-DECOR-OUTDOOR-LIGHTING-011-FINISH-BLACK,shopify,90,deny,manual,77.90,active
prod-garden-decor-outdoor-lighting-011,,,,,,,Finish,Brass,GARDEN-DECOR-OUTDOOR-LIGHTING-011-FINISH-BRASS,shopify,234,deny,manual,77.90,
prod-garden-decor-outdoor-lighting-011,,,,,,,Finish,Steel,GARDEN-DECOR-OUTDOOR-LIGHTING-011-FINISH-STEEL,shopify,103,deny,manual,77.90,
prod-garden-decor-outdoor-lighting-012,Solar Glass Path Light,<p>A solar glass path light designed for reliable everyday use.</p>,ecomgen,outdoor-lighting,outdoor-lighting,TRUE,Power,Solar,GARDEN-DECOR-OUTDOOR-LIGHTING-012-POWER-SOLAR,shopify,177,deny,manual,166.00,active
prod-garden-decor-outdoor-lighting-012,,,,,,,Power,Wired,GARDEN-DECOR-OUTDOOR-LIGHTING-012-POWER-WIRED,shopify,124,deny,manual,166.00,
prod-garden-decor-planters-001,Minimal Stone Planter,<p>A minimal stone planter designed for reliable everyday use.</p>,ecomgen,planters,planters,TRUE,Color,Terracotta,GARDEN-DECOR-PLANTERS-001-COLOR-TERRACOTTA,shopify,56,deny,manual,77.90,active
prod-garden-decor-planters-001,,,,,,,Color,Sand,GARDEN-DECOR-PLANTERS-001-COLOR-SAND,shopify,79,deny,manual,77.90,
prod-garden-decor-planters-001,,,,,,,Color,Charcoal,GARDEN-DECOR-PLANTERS-001-COLOR-CHARCOAL,shopify,227,deny,manual,77.90,
prod-garden-decor-planters-002,Rustic Ceramic Planter,<p>A rustic ceramic planter designed for reliable everyday use.</p>,ecomgen,planters,planters,TRUE,Size,Small,GARDEN-DECOR-PLANTERS-002-SIZE-SMALL,shopify,122,deny,manual,119.00,active
prod-garden-decor-planters-002,,,,,,,Size,Medium,GARDEN-DECOR-PLANTERS-002-SIZE-MEDIUM,shopify,96,deny,manual,119.00,
prod-garden-decor-planters-002,,,,,,,Size,Large,GARDEN-DECOR-PLANTERS-002-SIZE-LARGE,shopify,159,deny,manual,119.00,
prod-garden-decor-planters-003,Minimal Stone Pot,<p>A minimal stone pot designed for reliable everyday use.</p>,ecomgen,planters,planters,TRUE,Color,Terracotta,GARDEN-DECOR-PLANTERS-003-COLOR-TERRACOTTA,shopify,144,deny,manual,77.90,active
prod-garden-decor-planters-003,,,,,,,Color,Sand,GARDEN-DECOR-PLANTERS-003-COLOR-SAND,shopify,51,deny,manual,77.90,
prod-garden-decor-planters-003,,,,,,,Color,Charcoal,GARDEN-DECOR-PLANTERS-003-COLOR-CHARCOAL,shopify,235,deny,manual,77.90,
prod-garden-decor-planters-004,Rustic Stone Pot,<p>A rustic stone pot designed for reliable everyday use.</p>,ecomgen,planters,planters,TRUE,Size,Small,GARDEN-DECOR-PLANTERS-004-SIZE-SMALL,shopify,119,deny,manual,60.90,active
prod-garden-decor-planters-004,,,,,,,Size,Medium,GARDEN-DECOR-PLANTERS-004-SIZE-MEDIUM,shopify,190,deny,manual,60.90,
prod-garden-decor-planters-004,,,,,,,Size,Large,GARDEN-DECOR-PLANTERS-004-SIZE-LARGE,shopify,147,deny,manual,60.90,
prod-garden-decor-planters-005,Sculpted Ceramic Pot,<p>A sculpted ceramic pot designed for reliable everyday use.</p>,ecomgen,planters,planters,TRUE,Color,Terracotta,GARDEN-DECOR-PLANTERS-005-COLOR-TERRACOTTA,shopify,121,deny,manual,26.90,active
prod-garden-decor-planters-005,,,,,,,Color,Sand,GARDEN-DECOR-PLANTERS-005-COLOR-SAND,shopify,158,deny,manual,26.90,
prod-garden-decor-planters-005,,,,,,,Color,Charcoal,GARDEN-DECOR-PLANTERS-005-COLOR-CHARCOAL,shopify,129,deny,manual,26.90,
prod-garden-decor-planters-006,Minimal Terracotta Pot,<p>A minimal terracotta pot designed for reliable everyday use.</p>,ecomgen,planters,planters,TRUE,Size,Small,GARDEN-DECOR-PLANTERS-006-SIZE-SMALL,shopify,55,deny,manual,62.90,active
prod-garden-decor-planters-006,,,,,,,Size,Medium,GARDEN-DECOR-PLANTERS-006-SIZE-MEDIUM,shopify,143,deny,manual,62.90,
prod-garden-decor-planters-006,,,,,,,Size,Large,GARDEN-DECOR-PLANTERS-006-SIZE-LARGE,shopify,137,deny,manual,62.90,
prod-garden-decor-planters-007,Sculpted Ceramic Planter,<p>A sculpted ceramic planter designed for reliable everyday use.</p>,ecomgen,planters,planters,TRUE,Color,Terracotta,GARDEN-DECOR-PLANTERS-007-COLOR-TERRACOTTA,shopify,77,deny,manual,65.90,active
prod-garden-decor-planters-007,,,,,,,Color,Sand,GARDEN-DECOR-PLANTERS-007-COLOR-SAND,shopify,235,deny,manual,65.90,
prod-garden-decor-planters-007,,,,,,,Color,Charcoal,GARDEN-DECOR-PLANTERS-007-COLOR-CHARCOAL,shopify,95,deny,manual,65.90,
prod-garden-decor-planters-008,Minimal Terracotta Trough,<p>A minimal terracotta trough designed for reliable everyday use.</p>,ecomgen,planters,planters,TRUE,Size,Small,GARDEN-DECOR-PLANTERS-008-SIZE-SMALL,shopify,208,deny,manual,73.90,active
prod-garden-decor-planters-008,,,,,,,Size,Medium,GARDEN-DECOR-PLANTERS-008-SIZE-MEDIUM,shopify,113,deny,manual,73.90,
prod-garden-decor-planters-008,,,,,,,Size,Large,GARDEN-DECOR-PLANTERS-008-SIZE-LARGE,shopify,83,deny,manual,73.90,
prod-garden-decor-planters-009,Rustic Ceramic Pot,<p>A rustic ceramic pot designed for reliable everyday use.</p>,ecomgen,planters,planters,TRUE,Color,Terracotta,GARDEN-DECOR-PLANTERS-009-COLOR-TERRACOTTA,shopify,199,deny,manual,19.90,active
prod-garden-decor-planters-009,,,,,,,Color,Sand,GARDEN-DECOR-PLANTERS-009-COLOR-SAND,shopify,131,deny,manual,19.90,
prod-garden-decor-planters-009,,,,,,,Color,Charcoal,GARDEN-DECOR-PLANTERS-009-COLOR-CHARCOAL,shopify,210,deny,manual,19.90,
prod-garden-decor-planters-010,Modern Stone Trough,<p>A modern stone trough designed for reliable everyday use.</p>,ecomgen,planters,planters,TRUE,Size,Small,GARDEN-DECOR-PLANTERS-010-SIZE-SMALL,shopify,86,deny,manual,72.90,active
prod-garden-decor-planters-010,,,,,,,Size,Medium,GARDEN-DECOR-PLANTERS-010-SIZE-MEDIUM,shopify,143,deny,manual,72.90,
prod-garden-decor-planters-010,,,,,,,Size,Large,GARDEN-DECOR-PLANTERS-010-SIZE-LARGE,shopify,92,deny,manual,72.90,
prod-garden-decor-planters-011,Modern Ceramic Planter,<p>A modern ceramic planter designed for reliable everyday use.</p>,ecomgen,planters,planters,TRUE,Color,Terracotta,GARDEN-DECOR-PLANTERS-011-COLOR-TERRACOTTA,shopify,168,deny,manual,28.90,active
prod-garden-decor-planters-011,,,,,,,Color,Sand,GARDEN-DECOR-PLANTERS-011-COLOR-SAND,shopify,39,deny,manual,28.90,
prod-garden-decor-planters-011,,,,,,,Color,Charcoal,GARDEN-DECOR-PLANTERS-011-COLOR-CHARCOAL,shopify,80,deny,manual,28.90,
prod-garden-decor-planters-012,Rustic Stone Planter,<p>A rustic stone planter designed for reliable everyday use.</p>,ecomgen,planters,planters,TRUE,Size,Small,GARDEN-DECOR-PLANTERS-012-SIZE-SMALL,shopify,173,deny,manual,42.90,active
prod-garden-decor-planters-012,,,,,,,Size,Medium,GARDEN-DECOR-PLANTERS-012-SIZE-MEDIUM,shopify,179,deny,manual,42.90,
prod-garden-decor-planters-012,,,,,,,Size,Large,GARDEN-DECOR-PLANTERS-012-SIZE-LARGE,shopify,230,deny,manual,42.90,
